,date,time,data_set,is_down_sample,down_sample_amount,n_points,n_clusters,clustering_algorithm,classification_metrics,f1,jaccard,precision,recall,mean_abs,mean_sqr,clustering_metrics,db,rand
532,2022-08-30,01:22:12,raw,True,0.075,136979,683,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7449081469648562,0.5935088696205553,0.9230483731287888,0.6244037157921165,0.03730498835587937,0.03730498835587937,"['db', 'rand']",0.8307632679914374,0.16063892672503347
536,2022-08-30,01:22:12,raw,True,0.075,136979,684,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7369701886027176,0.5834938985228002,0.934790996784566,0.6082517365469914,0.03787441870651706,0.03787441870651706,"['db', 'rand']",0.8266347581775733,0.16063837489752208
540,2022-08-30,01:22:12,raw,True,0.075,136979,685,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7628452701051087,0.616612661029005,0.917234893016694,0.6529416687588919,0.03541418757619781,0.03541418757619781,"['db', 'rand']",0.8263616011640789,0.1606575786441468
544,2022-08-30,01:22:12,raw,True,0.075,136979,686,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7417551986304817,0.589515806322529,0.9309908998988876,0.6164532596870029,0.037443695748983416,0.037443695748983416,"['db', 'rand']",0.8255966638674878,0.16064412724897634
548,2022-08-30,01:22:12,raw,True,0.075,136979,687,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7547263681592041,0.6060727127447063,0.9305606674027728,0.6347811532345803,0.03599091831594624,0.03599091831594624,"['db', 'rand']",0.8223128178162793,0.1606443222060013
552,2022-08-30,01:22:12,raw,True,0.075,136979,688,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7497230335381206,0.5996455614628645,0.941206220761158,0.6229810025943594,0.036282933880375824,0.036282933880375824,"['db', 'rand']",0.8235134839793508,0.16063967105795054
556,2022-08-30,01:22:12,raw,True,0.075,136979,689,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7426903527754013,0.59069804674992,0.9314567028528148,0.6175412168382292,0.03732688952321159,0.03732688952321159,"['db', 'rand']",0.8250979397591867,0.16062792471065954
560,2022-08-30,01:22:12,raw,True,0.075,136979,690,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7547997271221129,0.6061673319245521,0.9034177067537618,0.6481713950958239,0.036735558005241684,0.036735558005241684,"['db', 'rand']",0.8297518322679671,0.16064193091792134
564,2022-08-30,01:22:12,raw,True,0.075,136979,691,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7414371379205205,0.5891141080513608,0.9438478457756502,0.6105113398610762,0.0371443797954431,0.0371443797954431,"['db', 'rand']",0.8264176620950937,0.16063353167043418
568,2022-08-30,01:22:12,raw,True,0.075,136979,692,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7477459223989464,0.5971199741121268,0.9471320415757732,0.6177085948614947,0.036355937771483215,0.036355937771483215,"['db', 'rand']",0.8277406611854619,0.16063029915718136
572,2022-08-30,01:22:12,raw,True,0.075,136979,693,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7585562549173879,0.6110274895032877,0.9196375342792416,0.6454933467235752,0.03584491053373145,0.03584491053373145,"['db', 'rand']",0.8262740557903584,0.1606289104747749
576,2022-08-30,01:22:12,raw,True,0.075,136979,694,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7527711314029006,0.6035549291363245,0.9036342321219226,0.6450749016654114,0.03696187006767461,0.03696187006767461,"['db', 'rand']",0.8253904419469783,0.16061742090795034
580,2022-08-30,01:22:12,raw,True,0.075,136979,695,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7464292898813117,0.5954425098290941,0.9352236925015752,0.6210561553268056,0.03680856189634908,0.03680856189634908,"['db', 'rand']",0.8244836252022327,0.16063035415872584
584,2022-08-30,01:22:12,raw,True,0.075,136979,696,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7459965508745997,0.5948919449901768,0.9070213275820752,0.6335258180600887,0.03763350586586265,0.03763350586586265,"['db', 'rand']",0.8234236173220137,0.16061625606903898
588,2022-08-30,01:22:12,raw,True,0.075,136979,697,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7473590680225095,0.5966267339218159,0.9110602960645084,0.6335258180600887,0.037363391468765286,0.037363391468765286,"['db', 'rand']",0.8278315891004404,0.16062667001457373
592,2022-08-30,01:22:12,raw,True,0.075,136979,698,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7531849501809351,0.6040871501272265,0.9237597276264592,0.6357854213741736,0.036348637382372484,0.036348637382372484,"['db', 'rand']",0.8282249074077801,0.16062195544419938
596,2022-08-30,01:22:12,raw,True,0.075,136979,699,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7539545656137584,0.6050779087241952,0.9168264621284756,0.6402209389907105,0.036450842829922836,0.036450842829922836,"['db', 'rand']",0.8281553880256485,0.1606094619925956
600,2022-08-30,01:22:12,raw,True,0.075,136979,700,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7498131446509543,0.5997608609007573,0.9266009852216748,0.6296761235249811,0.03665525372502355,0.03665525372502355,"['db', 'rand']",0.8242902104544042,0.1606100012422344
604,2022-08-30,01:22:12,raw,True,0.075,136979,701,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7520669195603541,0.6026500389711613,0.8977127597817253,0.6470834379445979,0.03721738368655049,0.03721738368655049,"['db', 'rand']",0.826699301976747,0.16060726001215714
608,2022-08-30,01:22:12,raw,True,0.075,136979,702,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7506165383260355,0.6007895584917822,0.941540404040404,0.6240689597455854,0.036173428043714734,0.036173428043714734,"['db', 'rand']",0.8271259670160336,0.16061115254394395
612,2022-08-30,01:22:12,raw,True,0.075,136979,703,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7557921719412402,0.6074484944532488,0.9195154132181841,0.6415599631768348,0.03616612765460399,0.03616612765460399,"['db', 'rand']",0.8244330749599771,0.16061370340045827
616,2022-08-30,01:22:12,raw,True,0.075,136979,704,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7432984554060786,0.5914677662358259,0.9184829454500676,0.6242363377688509,0.037611604698530435,0.037611604698530435,"['db', 'rand']",0.8303647258755233,0.16059915815674194
620,2022-08-30,01:22:12,raw,True,0.075,136979,705,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7453177848452722,0.5940291301199002,0.9391857506361324,0.6177922838731275,0.0368304630636813,0.0368304630636813,"['db', 'rand']",0.8306768773595927,0.1605997000711843
624,2022-08-30,01:22:12,raw,True,0.075,136979,706,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7467270896273918,0.5958216151064685,0.937302490203514,0.6205540212570091,0.0367209572270202,0.0367209572270202,"['db', 'rand']",0.8298506463678168,0.16060028451589065
628,2022-08-30,01:22:12,raw,True,0.075,136979,707,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7599210266535045,0.6128005094730139,0.926242329442907,0.6442380115490836,0.035509092634637425,0.035509092634637425,"['db', 'rand']",0.8308217562825614,0.16059711393267145
632,2022-08-30,01:22:12,raw,True,0.075,136979,708,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7421701353808849,0.5900401606425703,0.93615394418249,0.6147794794543476,0.037261186021214934,0.037261186021214934,"['db', 'rand']",0.8181731036800272,0.1606086150114472
636,2022-08-30,01:22:12,raw,True,0.075,136979,709,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7441676942046856,0.5925693189851543,0.9060773480662984,0.6313499037576367,0.03786711831740632,0.03786711831740632,"['db', 'rand']",0.8273341796985961,0.16059485886934705
